Date,Symbol,EntryPrice,Result15Before7,DecisionDay15Before7,Target18BeforeStop7,Target18DecisionDay,Target25BeforeStop7,Target25DecisionDay,Target30BeforeStop7,Target30DecisionDay,CloseReturn5D,CloseReturn10D,CloseReturn15D,CloseReturn20D,CloseReturn30D,RuleBasedReturn
2023-12-14,21STCENMGM-EQ,28.8,SUCCESS,8.0,SUCCESS,20.0,SUCCESS,23.0,SUCCESS,25.0,9.895833333333325,14.583333333333325,7.8125,18.576388888888886,43.576388888888886,15.0
2023-12-20,21STCENMGM-EQ,31.05,SUCCESS,19.0,SUCCESS,20.0,SUCCESS,23.0,SUCCESS,25.0,5.636070853462138,-1.9323671497584627,7.890499194847012,18.679549114331717,38.32528180354269,15.0
2024-01-18,21STCENMGM-EQ,36.85,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,19.0,SUCCESS,21.0,10.04070556309362,16.553595658073284,18.588873812754404,29.4436906377205,34.056987788331064,15.0
2024-04-15,21STCENMGM-EQ,50.4,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,STOPPED_OUT,20.0,7.2420634920634885,0.49603174603174427,1.984126984126977,-7.638888888888895,-6.051587301587292,-7.0
2024-04-16,21STCENMGM-EQ,51.3,STOPPED_OUT,18.0,STOPPED_OUT,18.0,STOPPED_OUT,18.0,STOPPED_OUT,18.0,3.3138401559454245,0.6822612085769952,-1.754385964912275,-11.013645224171542,-5.9454191033138315,-7.0
2024-04-22,21STCENMGM-EQ,53.25,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,STOPPED_OUT,6.0,-6.197183098591541,-1.5023474178403662,-10.7981220657277,-18.21596244131456,-6.854460093896709,-7.0
2024-04-23,21STCENMGM-EQ,54.05,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-6.2904717853839,-4.90286771507863,-13.876040703052727,-20.444033302497687,-10.083256244218308,-7.0
2024-06-24,21STCENMGM-EQ,61.52,SUCCESS,8.0,SUCCESS,9.0,SUCCESS,12.0,SUCCESS,14.0,10.386866059817933,21.830299089726914,29.177503250975278,23.683355006501962,45.936280884265265,15.0
2024-07-05,21STCENMGM-EQ,73.49,SUCCESS,18.0,SUCCESS,20.0,SUCCESS,23.0,SUCCESS,25.0,10.355150360593267,1.5104095795346328,8.518165736834948,19.771397469043418,40.22315961355287,15.0
2024-08-05,21STCENMGM-EQ,88.02,SUCCESS,10.0,SUCCESS,11.0,SUCCESS,14.0,SUCCESS,16.0,10.384003635537375,17.07566462167689,29.243353783231086,42.67211997273348,45.85321517836856,15.0
