Model,Features,Threshold,Trades,Success15Before7Pct,Stop7Before15Pct,AverageRuleBasedReturnPct,Average20DayReturnPct
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,65,21453,30.891,43.309,2.275,3.585
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,70,17926,31.613,41.42,2.537,3.964
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,75,14262,31.524,41.453,2.508,3.944
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA,80,10107,31.236,41.615,2.446,4.156
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,50,37855,29.388,44.562,1.987,2.917
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,55,32256,29.405,44.33,2.004,3.009
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,60,26147,30.516,42.762,2.312,3.516
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,65,21386,31.039,42.247,2.39,3.738
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,70,18107,31.839,40.609,2.646,4.122
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,75,14567,31.551,40.544,2.608,4.079
Mix_MidPct50EMA_SmallPct50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | SmallPct200EMA,80,11590,31.467,40.88,2.57,4.226
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,50,38338,29.608,44.556,2.028,3.22
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,55,32227,29.568,44.118,2.062,3.319
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,60,26931,30.177,43.507,2.191,3.401
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,65,22575,30.113,43.185,2.195,3.462
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,70,17262,31.115,40.945,2.537,3.906
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,75,13089,31.118,40.752,2.559,4.022
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA,80,9534,31.047,41.735,2.422,4.169
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,50,36007,30.069,42.917,2.239,3.253
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,55,32899,29.825,42.846,2.211,3.197
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,60,29163,30.213,42.382,2.282,3.326
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,65,24575,30.364,42.474,2.272,3.323
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,70,20688,30.24,41.821,2.335,3.447
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,75,16740,30.609,41.177,2.422,3.866
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,80,11875,30.425,40.691,2.45,3.937
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,50,38391,29.588,44.667,2.016,3.21
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,55,32177,29.558,44.324,2.036,3.28
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,60,26724,30.085,43.732,2.153,3.377
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA,65,22318,29.85,43.727,2.097,3.348
