Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_LargePct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8100,28.108,47.552,1.547,3.155,1.526
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,55,4,27758,26.403,44.824,1.543,2.233,1.518
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,55,4,27758,26.403,44.824,1.543,2.233,1.518
Mix_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,10522,28.03,47.914,1.552,3.099,1.516
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,50,4,29517,26.331,44.8,1.529,2.244,1.501
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,80,2,8611,28.081,47.513,1.516,3.132,1.495
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,50,4,29638,26.204,44.757,1.521,2.256,1.489
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,50,4,29638,26.204,44.757,1.521,2.256,1.489
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove50EMA,50,4,29844,26.239,44.809,1.52,2.251,1.488
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,65,4,20510,26.605,45.029,1.497,2.392,1.477
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,65,4,20510,26.605,45.029,1.497,2.392,1.477
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,60,4,24408,26.458,45.085,1.486,2.236,1.456
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,55,4,27678,26.193,45.009,1.479,2.208,1.438
Mix_MidPct50EMA_LargePct50EMA_PctAbove50EMA,MidPct50EMA | LargePct50EMA | PctAbove50EMA,65,4,20073,26.442,45.395,1.446,2.274,1.406
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9054,27.91,48.113,1.448,3.092,1.4
