symbol,company_name,isin,as_of_date,close,median_turnover_50d_cr,ema20,ema50,ema200,close_vs_ema20_pct,close_vs_ema50_pct,close_vs_ema200_pct,trend_stack
TBOTEK,,,2026-09-15,1656.1,21.49,1680.14,1605.71,1464.64,-1.43,3.14,13.07,Close > EMA20 > EMA50 > EMA200
63MOONS,,,2026-09-15,864.0,21.34,836.37,793.55,732.44,3.3,8.88,17.96,Close > EMA20 > EMA50 > EMA200
DCBBANK,,,2026-09-15,221.89,21.16,215.38,203.04,183.14,3.02,9.29,21.16,Close > EMA20 > EMA50 > EMA200
CRISIL,,,2026-09-15,4596.9,21.15,4652.68,4501.94,4423.56,-1.2,2.11,3.92,Close > EMA20 > EMA50 > EMA200
MANINDS,,,2026-09-15,808.2,21.01,759.46,672.51,532.35,6.42,20.18,51.82,Close > EMA20 > EMA50 > EMA200
WELENT,,,2026-09-15,737.6,20.91,719.08,656.38,565.14,2.57,12.37,30.52,Close > EMA20 > EMA50 > EMA200
STAR,,,2026-09-15,1150.6,20.86,1092.03,1060.52,999.63,5.36,8.49,15.1,Close > EMA20 > EMA50 > EMA200
CONFIPET,,,2026-09-15,86.1,20.84,82.33,77.97,62.79,4.58,10.43,37.12,Close > EMA20 > EMA50 > EMA200
GNFC,,,2026-09-15,540.6,20.66,558.33,538.41,497.7,-3.17,0.41,8.62,Close > EMA20 > EMA50 > EMA200
AARTIPHARM,,,2026-09-15,789.45,20.42,828.8,788.3,744.19,-4.75,0.15,6.08,Close > EMA20 > EMA50 > EMA200
UNIMECH,,,2026-09-15,1538.5,20.24,1507.15,1394.96,1157.54,2.08,10.29,32.91,Close > EMA20 > EMA50 > EMA200
MSTCLTD,,,2026-09-15,701.2,20.09,719.71,672.77,571.18,-2.57,4.23,22.76,Close > EMA20 > EMA50 > EMA200
ELGIEQUIP,,,2026-09-15,612.05,19.97,619.42,605.56,558.95,-1.19,1.07,9.5,Close > EMA20 > EMA50 > EMA200
THELEELA,,,2026-09-15,522.45,19.46,541.16,518.49,465.97,-3.46,0.76,12.12,Close > EMA20 > EMA50 > EMA200
YATHARTH,,,2026-09-15,981.8,19.28,949.64,902.41,794.38,3.39,8.8,23.59,Close > EMA20 > EMA50 > EMA200
ROSSTECH,,,2026-09-15,1265.4,19.14,1146.87,1082.78,899.75,10.33,16.87,40.64,Close > EMA20 > EMA50 > EMA200
ABDL,,,2026-09-15,631.6,18.88,613.56,612.13,567.16,2.94,3.18,11.36,Close > EMA20 > EMA50 > EMA200
SUPRIYA,,,2026-09-15,874.95,18.69,859.38,850.3,785.09,1.81,2.9,11.45,Close > EMA20 > EMA50 > EMA200
INDGN,,,2026-09-15,571.5,18.68,578.77,557.72,530.1,-1.26,2.47,7.81,Close > EMA20 > EMA50 > EMA200
PFOCUS,,,2026-09-15,319.0,18.63,300.91,287.83,255.82,6.01,10.83,24.7,Close > EMA20 > EMA50 > EMA200
BEPL,,,2026-09-15,120.69,18.55,126.06,119.95,105.89,-4.26,0.62,13.98,Close > EMA20 > EMA50 > EMA200
QPOWER,,,2026-09-15,1355.2,18.45,1396.0,1303.64,1077.37,-2.92,3.96,25.79,Close > EMA20 > EMA50 > EMA200
RELIGARE,,,2026-09-15,247.55,18.37,247.73,246.3,242.06,-0.07,0.51,2.27,Close > EMA20 > EMA50 > EMA200
KMEW,,,2026-09-15,2730.5,18.29,2855.33,2658.22,2064.78,-4.37,2.72,32.24,Close > EMA20 > EMA50 > EMA200
ASIANENE,,,2026-09-15,485.25,18.28,492.06,442.79,361.46,-1.38,9.59,34.25,Close > EMA20 > EMA50 > EMA200
JTLIND,,,2026-09-15,82.47,18.23,85.23,80.94,74.0,-3.24,1.88,11.45,Close > EMA20 > EMA50 > EMA200
KPIL,,,2026-09-15,1380.2,18.07,1396.49,1365.07,1273.2,-1.17,1.11,8.4,Close > EMA20 > EMA50 > EMA200
GPPL,,,2026-09-15,161.18,18.01,159.75,155.54,154.6,0.89,3.62,4.25,Close > EMA20 > EMA50 > EMA200
BLACKBUCK,,,2026-09-15,611.9,17.9,590.91,579.35,569.84,3.55,5.62,7.38,Close > EMA20 > EMA50 > EMA200
INDSWFTLAB,,,2026-09-15,378.75,17.65,353.64,300.79,198.26,7.1,25.92,91.03,Close > EMA20 > EMA50 > EMA200
GLAXO,,,2026-09-15,2818.9,17.4,2881.58,2744.0,2546.1,-2.18,2.73,10.71,Close > EMA20 > EMA50 > EMA200
VIJAYA,,,2026-09-15,1443.7,17.27,1478.13,1427.49,1232.22,-2.33,1.14,17.16,Close > EMA20 > EMA50 > EMA200
PREMEXPLN,,,2026-09-15,668.3,17.14,666.63,665.61,604.64,0.25,0.4,10.53,Close > EMA20 > EMA50 > EMA200
SOTL,,,2026-09-15,688.3,17.05,699.74,658.59,518.01,-1.63,4.51,32.87,Close > EMA20 > EMA50 > EMA200
ICIL,,,2026-09-15,427.1,16.99,435.98,417.29,348.62,-2.04,2.35,22.51,Close > EMA20 > EMA50 > EMA200
PRECWIRE,,,2026-09-15,440.05,16.88,457.24,433.64,356.45,-3.76,1.48,23.45,Close > EMA20 > EMA50 > EMA200
GNA,,,2026-09-15,532.6,16.75,543.5,522.81,440.94,-2.01,1.87,20.79,Close > EMA20 > EMA50 > EMA200
ASKAUTOLTD,,,2026-09-15,604.7,16.73,617.94,582.1,503.52,-2.14,3.88,20.09,Close > EMA20 > EMA50 > EMA200
MBAPL,,,2026-09-15,155.82,16.3,161.53,152.95,119.15,-3.53,1.87,30.78,Close > EMA20 > EMA50 > EMA200
SAPPHIRE,,,2026-09-15,222.37,16.28,227.45,216.09,215.2,-2.23,2.91,3.33,Close > EMA20 > EMA50 > EMA200
SAMBHV,,,2026-09-15,128.96,15.96,127.91,123.19,112.94,0.82,4.68,14.19,Close > EMA20 > EMA50 > EMA200
VENUSPIPES,,,2026-09-15,1941.6,15.46,1758.72,1672.33,1465.47,10.4,16.1,32.49,Close > EMA20 > EMA50 > EMA200
CONCORDBIO,,,2026-09-15,1473.0,15.41,1467.45,1416.83,1352.68,0.38,3.96,8.9,Close > EMA20 > EMA50 > EMA200
VARROC,,,2026-09-15,836.0,15.21,830.79,770.09,646.68,0.63,8.56,29.28,Close > EMA20 > EMA50 > EMA200
STYLEBAAZA,,,2026-09-15,376.05,15.21,385.64,361.44,331.41,-2.49,4.04,13.47,Close > EMA20 > EMA50 > EMA200
