Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA
2025-08-19,2174,1507,637,999,0,0,173,25,32,18,0,0,658406249542.18,200547620548.66,30,13,46.35730858468678,,,444.0,183.0,0,3.2830419415479635,870,43.28586262824291,0.7206051954778034,61.61616161616161,,,64.62585034013605,,,53.62903225806451,,,42.74533413606261,,
2025-08-20,2178,1222,923,1073,0,0,144,19,35,18,0,0,622193921545.08,321697363115.74,29,5,49.76808905380334,,,525.0,92.0,0,1.9340970517041307,299,60.579881286375795,0.6845280389632932,67.3469387755102,,,63.26530612244898,,,50.806451612903224,,,47.384245339747444,,
2025-08-21,2174,1052,1090,1075,0,0,86,27,28,16,0,0,511773661669.27997,435179156875.27997,22,7,49.930329772410595,,,403.0,71.0,0,1.176006832089101,-38,58.21336783264754,0.8206904826923291,65.3061224489796,,,63.26530612244898,,,53.01204819277109,,,47.377938517179025,,
2025-08-22,2175,756,1392,974,0,0,67,30,36,17,0,0,380084563735.37,406947705202.47,16,7,45.17625231910946,,,297.0,76.0,0,0.9339887137226425,-636,25.998931990546637,0.5814882345953141,57.14285714285714,,,55.78231292517006,,,44.800000000000004,,,43.588199879590604,,
2025-08-25,2181,1010,1151,1004,0,0,102,50,34,9,0,0,516065705645.79,284409255812.83,38,6,46.546128882707464,,,255.0,107.0,0,1.814517970482644,-141,23.07559468559765,0.48359831219482613,61.224489795918366,,,58.50340136054422,,,50.4,,,44.04332129963899,,
2025-08-26,2179,374,1789,675,0,0,35,112,32,11,0,0,461242899266.37,946508886919.24,18,9,31.337047353760443,,,204.0,192.0,0,0.4873096340037194,-1415,-43.23923668356173,0.4289989846084932,43.43434343434344,,,39.04109589041096,,,38.800000000000004,,,28.812537673297168,,
2025-08-28,2183,573,1587,565,0,0,44,101,35,9,0,0,280823099839.9,718686001738.59,8,4,26.169522927281147,,,181.0,263.0,0,0.39074519214255404,-1014,-79.67222132077524,0.924025703691805,40.4040404040404,,,28.57142857142857,,,30.0,,,24.533974744437764,,
2025-08-29,2182,861,1299,552,0,0,66,42,27,14,0,0,395784553901.3,491348308430.53,9,6,25.543729754743172,,,145.0,255.0,0,0.8055071058750842,-438,-81.62406207898889,0.8228574858338834,37.755102040816325,,,28.57142857142857,,,28.11244979919679,,,24.175164967006598,,
2025-09-01,2189,1600,566,767,0,0,182,23,42,10,0,0,686604895323.88,142819357504.48,51,42,35.460009246417016,,,292.0,166.0,0,4.807505840358754,1034,-9.284765616866622,0.5880086717573635,47.95918367346938,,,49.32432432432432,,,37.34939759036144,,,33.21342925659472,,
2025-09-02,2183,1362,796,912,0,0,165,32,37,7,0,0,541876860809.19,339539642618.33,41,20,42.183163737280296,,,413.0,97.0,0,1.595916331386104,566,29.211756686332222,1.0721459782861953,46.93877551020408,,,57.14285714285714,,,41.76706827309237,,,40.647482014388494,,
2025-09-03,2185,1505,654,1109,0,0,162,20,52,3,0,0,737122665952.05,196572192327.88,51,28,51.224018475750576,,,509.0,75.0,0,3.749882713414462,851,76.23022447213562,0.6136787247628671,55.55555555555556,,,66.43835616438356,,,50.8,,,49.700598802395206,,
2025-09-04,2189,743,1423,1010,0,0,70,46,50,4,0,0,450942140205.31,550610569517.12,43,27,46.60821412090448,,,397.0,98.0,0,0.818985622814983,-680,39.49986330663684,0.6375402902654038,45.45454545454545,,,51.70068027210885,,,44.0,,,46.618791143028126,,
2025-09-05,2187,1066,1097,971,0,0,97,31,59,5,0,0,517245430885.35,279929090837.14,33,18,44.849884526558895,,,329.0,97.0,0,1.8477730532995247,-31,40.3479051936022,0.5258985189687055,46.464646464646464,,,53.691275167785236,,,44.75806451612903,,,43.97843019772319,,
2025-09-08,2193,1219,953,1074,0,0,146,42,74,5,0,0,557721762103.87,220990339891.97,54,24,49.561605906783576,,,313.0,119.0,0,2.5237381976695707,266,55.72124148098957,0.5068348904426584,50.505050505050505,,,55.033557046979865,,,45.564516129032256,,,49.61101137043686,,
2025-09-09,2190,1031,1139,1091,0,0,92,49,73,4,0,0,465411268214.24,304519356813.48,52,27,50.34610059990771,,,335.0,122.0,0,1.5283470748225012,-108,49.886837799300835,0.5922607484578662,55.10204081632652,,,63.08724832214765,,,48.78048780487805,,,49.163679808841096,,
2025-09-10,2191,1349,816,1280,0,0,122,37,78,0,0,0,650163609883.05,274451127995.81,55,29,59.06783571758191,,,360.0,128.0,0,2.36895951067327,533,76.69898846246045,0.6978533263466105,71.42857142857143,,,75.83892617449665,,,58.77551020408164,,,56.8955223880597,,
2025-09-11,2191,1065,1087,1300,0,0,79,35,78,3,0,0,491311729634.01,439493198094.67,39,24,59.99077065066912,,,293.0,121.0,0,1.1179051957183193,-22,71.48988233714962,0.8764256694735502,69.38775510204081,,,75.83892617449665,,,60.40816326530612,,,57.97014925373134,,
2025-09-12,2192,1080,1073,1296,0,0,74,23,80,3,0,0,597835951828.53,284268095911.4,40,26,59.723502304147466,,,275.0,95.0,0,2.1030708701575818,7,68.12864718832313,0.47859716922687245,72.72727272727273,,,76.51006711409396,,,63.00813008130082,,,56.98090692124105,,
2025-09-15,2196,1230,944,1384,0,0,117,24,81,3,0,0,549650189028.35,274284418628.6,61,35,63.778801843317964,,,270.0,82.0,0,2.003942446948145,286,78.86414790013484,0.6502013586640102,74.74747474747475,,,81.87919463087249,,,67.47967479674797,,,60.978520286396176,,
