Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,IPO_New_Highs,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA,T3_Breakouts_5D,T3_Wins_5D,Composite_Score,Intraday_Volume_Points,Unchanged
2018-06-04,367,70,294,94,0,0,3,69,2,16,0,0,0,64642006539.96,151995254500.78,5,3,25.96685082872928,,,15.0,137.0,0,0.4252896365236737,-224.0,-15.625909732196256,0.5598425582185202,37.37373737373738,,,20.27027027027027,,,23.47826086956522,,,,,,15.0,6.0,10,,
2018-06-05,369,73,293,62,0,0,2,86,0,28,0,0,0,62664870520.42,158089521145.95,11,0,16.986301369863014,,,8.0,198.0,0,0.3963885149766953,-220.0,-22.45119035313718,0.6285418175999091,26.262626262626267,,,14.18918918918919,,,12.71186440677966,,,,,,23.0,5.0,8,,
2018-06-06,371,294,72,94,0,0,52,6,0,21,0,0,1,183880117092.01,38692477227.29,2,0,25.683060109289617,,,57.0,161.0,0,4.752348008421607,222.0,-6.0745493322759785,0.8592243930994286,34.34343434343434,,,21.62162162162162,,,23.52941176470588,,,,,,22.0,4.0,20,,
2018-06-07,366,314,46,150,0,0,69,2,2,12,0,0,6,199429022128.69,26614550469.24,0,0,41.43646408839779,,,123.0,94.0,0,7.493232784794988,268.0,10.257851487221732,0.9109668887336588,52.52525252525253,,,39.86486486486486,,,33.91304347826087,,,,,,19.0,3.0,28,,
2018-06-08,369,207,157,169,0,0,31,4,2,7,0,0,6,165344705581.12,74921227566.38,0,0,46.3013698630137,,,152.0,12.0,0,2.2069139942298066,50.0,13.270764930456169,0.5974276029908236,60.60606060606061,,,42.567567567567565,,,38.983050847457626,,,,,,18.0,3.0,31,,
2018-06-11,367,204,152,174,0,0,16,6,3,8,0,0,9,133890845446.51,86162420955.41,1,1,47.93388429752066,,,116.0,12.0,0,1.5539355087968103,52.0,15.880452099769323,0.8636814433805347,61.61616161616161,,,45.63758389261745,,,39.130434782608695,,,,,,14.0,1.0,29,,
2018-06-12,362,237,121,198,163,0,22,2,5,6,0,0,14,176122251328.31,54617863461.84,1,0,55.00000000000001,45.53072625698324,,69.0,12.0,0,3.2246272586506755,116.0,21.23233236903323,0.6074121220354657,63.63636363636363,56.56565656565656,,53.69127516778524,41.49659863945578,,49.10714285714285,41.07142857142857,,,,,4.0,1.0,24,,
2018-06-13,363,139,222,191,160,0,9,2,3,6,0,0,9,141396752825.49,97575011573.2,5,4,52.90858725761773,44.56824512534819,,47.0,10.0,0,1.449108235251556,-83.0,15.752028337408705,0.4320768531257671,61.61616161616161,50.505050505050505,,52.348993288590606,41.49659863945578,,46.017699115044245,43.36283185840708,,,,,7.0,5.0,41,,
2018-06-14,362,167,187,184,159,0,11,1,6,5,0,0,5,115554624136.71,99032977825.34,9,5,51.11111111111111,44.28969359331476,,42.0,5.0,0,1.1668297437294928,-20.0,14.137608248682692,0.7653628416154621,51.51515151515152,50.505050505050505,,50.33557046979866,39.86486486486486,,51.78571428571429,44.642857142857146,,,,,16.0,10.0,51,,
2018-06-15,365,116,245,154,144,0,11,7,4,3,0,0,12,152195849733.47,163686069561.85,11,6,42.5414364640884,39.88919667590028,,31.0,10.0,0,0.9298033127734284,-129.0,7.236591031578538,0.5092145631777024,40.0,44.0,,40.939597315436245,37.16216216216216,,46.90265486725664,39.823008849557525,,,,,27.0,16.0,44,,
2018-06-18,368,122,239,145,137,0,6,11,4,3,0,0,8,83711245439.17,106041150227.28,9,7,39.61748633879781,37.63736263736264,,28.0,19.0,0,0.7894222691827664,-117.0,1.9000383557965923,0.6466250965715331,45.0,42.0,,36.66666666666666,34.45945945945946,,38.793103448275865,37.93103448275862,,,,,35.0,22.0,49,,
2018-06-19,365,67,297,105,113,0,6,24,7,1,0,0,8,48921376121.22,167862991686.92,4,0,28.92561983471074,31.215469613259668,,23.0,42.0,0,0.2914363412065411,-230.0,-8.322214373775957,0.774060038824569,32.0,35.0,,26.174496644295303,28.37837837837838,,29.82456140350877,31.57894736842105,,,,,38.0,22.0,43,,
2018-06-20,371,213,149,129,125,0,14,6,3,1,0,0,1,136167360258.83,63427416473.27,11,3,35.05434782608695,34.05994550408719,,26.0,41.0,0,2.1468217977349675,64.0,-2.3206293856916105,0.6658820973638923,37.0,39.0,,32.88590604026846,29.72972972972973,,36.134453781512605,35.294117647058826,,,,,44.0,21.0,37,,
2018-06-21,368,97,269,115,110,0,3,18,3,1,0,0,2,74796431045.1,127684730173.11,5,1,31.506849315068493,30.21978021978022,,23.0,48.0,0,0.5857899448406548,-172.0,-8.97767107395103,0.6155701351909029,32.0,33.0,,28.666666666666668,27.516778523489933,,34.78260869565217,31.30434782608696,,,,,40.0,17.0,23,,
2018-06-22,365,188,171,116,114,0,11,5,2,1,0,0,4,138071292764.7,82349026858.28,3,1,31.955922865013772,31.49171270718232,,28.0,29.0,0,1.6766596768935258,17.0,-5.174553362043085,0.6557175673928846,38.0,37.0,,29.33333333333333,29.53020134228188,,30.08849557522124,29.20353982300885,,,,,32.0,12.0,29,,
2018-06-25,366,97,266,104,106,0,9,13,3,4,0,0,5,68821794154.21,130452425631.39,2,1,28.650137741046837,29.2817679558011,,23.0,36.0,0,0.5275623954181947,-169.0,-11.197014951551566,0.6912199529427677,31.0,35.0,,27.33333333333333,24.832214765100677,,28.31858407079646,30.08849557522124,,,,,25.0,6.0,19,,
2018-06-26,361,132,226,95,106,0,4,17,1,8,0,0,2,116753081381.16,97511044002.89,1,0,26.53631284916201,29.69187675070028,,24.0,35.0,0,1.1973318773789328,-94.0,-12.540234535823563,0.4878102784156725,35.0,35.0,,20.666666666666668,26.174496644295303,,26.85185185185185,29.629629629629623,,,,,22.0,6.0,22,,
2018-06-27,358,53,305,69,86,0,3,66,1,12,0,0,2,49122843968.06,180620680383.51,2,0,19.382022471910112,24.225352112676056,,16.0,96.0,0,0.2719668858724149,-252.0,-21.525986107697012,0.6389398887510074,26.0,29.0,,14.666666666666666,22.14765100671141,,19.81132075471698,22.641509433962263,,,,,13.0,3.0,12,,
2018-06-28,358,79,277,49,68,0,3,53,1,10,0,0,1,81717344563.67,217269053626.1,4,0,13.764044943820226,19.154929577464788,,10.0,136.0,0,0.3761112924268451,-198.0,-26.40117377111032,0.7582823533865332,18.0,22.0,,10.666666666666668,16.778523489932887,,14.150943396226417,19.81132075471698,,,,,12.0,2.0,11,,
2018-06-29,354,295,59,94,95,0,61,5,1,4,0,0,3,188351659773.9,45414220123.92,3,1,26.780626780626783,27.142857142857142,,67.0,124.0,0,4.147415925231177,236.0,-8.737453354473153,1.2055699476828576,32.0,32.0,,25.333333333333336,26.174496644295303,,23.76237623762376,23.76237623762376,,,,,12.0,2.0,25,,
2018-07-02,358,105,249,72,87,0,7,25,1,5,0,0,1,89841965027.86,128194887897.9,3,1,20.39660056657224,24.71590909090909,,71.0,83.0,0,0.7008233050557683,-144.0,-12.591285131476,0.6017019467615963,30.0,26.0,,16.666666666666664,23.48993288590604,,16.50485436893204,25.24271844660194,,,,,13.0,2.0,17,,
2018-07-03,359,219,137,95,94,0,19,8,2,2,0,0,7,143625782641.01,61040515485.58,1,1,26.912181303116142,26.704545454545453,,87.0,38.0,0,2.3529582196097225,82.0,-4.523354875156052,0.6793746411062692,35.714285714285715,32.6530612244898,,26.0,24.832214765100677,,20.0,23.809523809523807,,,,,13.0,3.0,31,,
2018-07-04,354,187,159,112,103,0,22,8,6,2,0,0,7,111865128194.38,96098079363.66,2,1,32.09169054441261,29.68299711815562,,48.0,41.0,0,1.1640724657050991,28.0,-0.3026577316267307,1.0103328302834074,39.795918367346935,33.6734693877551,,30.87248322147651,29.054054054054053,,26.47058823529412,26.73267326732673,,,,,13.0,4.0,31,,
2018-07-05,353,115,235,106,101,0,6,17,2,2,0,0,1,77825093238.79,136400747924.77,0,0,30.63583815028902,29.360465116279077,,47.0,33.0,0,0.5705620711237843,-120.0,-4.092448385251025,0.8576835490725983,37.755102040816325,33.6734693877551,,26.845637583892614,29.054054054054053,,29.29292929292929,25.51020408163265,,,,,9.0,4.0,26,,
2018-07-06,345,212,126,112,104,0,18,6,1,3,0,0,3,148448856540.62,75608557941.01,3,2,33.13609467455622,30.952380952380956,,46.0,31.0,0,1.9633869575510248,86.0,2.987742847826468,0.8569577566300791,40.81632653061224,36.734693877551024,,28.187919463087248,25.675675675675677,,32.967032967032964,33.33333333333333,,,,,9.0,5.0,40,,
2018-07-09,342,262,73,166,124,0,32,3,4,3,0,0,7,153129378824.88,41241991562.06,4,3,49.700598802395206,37.34939759036144,,56.0,26.0,0,3.7129482118838624,189.0,14.17636763786859,0.9666283748324668,53.608247422680414,43.29896907216495,,48.66666666666667,35.57046979865772,,47.12643678160919,33.72093023255814,,,,,10.0,7.0,59,,
2018-07-10,341,251,86,205,146,0,24,3,4,3,0,0,12,159485861906.97,61765228440.67,8,6,61.56156156156156,44.10876132930513,,74.0,12.0,0,2.5821302038924343,165.0,22.471759995165257,1.1303088615605583,62.88659793814433,45.36082474226804,,59.333333333333336,42.95302013422819,,63.95348837209303,44.70588235294118,,,,,17.0,12.0,65,,
